15:40:44 worker-dead streak=1, recover+reinject at page 1
15:41:25 lists=30/10530(0.3%) hover=9 herr=0 q=18 lp=2
16:40:52 lists=10000/10530(95.0%) +0 hover=7235 +88 q=2710 lp=351 herr=93 err=H:Error: H429
16:41:33 lists=10000/10530(95.0%) +0 hover=7342 +107 q=2599 lp=351 herr=99 err=H:Error: H429
16:42:14 lists=10000/10530(95.0%) +0 hover=7445 +103 q=2485 lp=351 herr=108 err=H:Error: H429
16:42:55 lists=10000/10530(95.0%) +0 hover=7556 +111 q=2374 lp=351 herr=111 err=H:Error: H429
16:43:38 lists=10000/10530(95.0%) +0 hover=7673 +117 q=2248 lp=351 herr=129 err=H:Error: H429
16:44:18 lists=10000/10530(95.0%) +0 hover=7784 +111 q=2119 lp=351 herr=135 err=H:Error: H429
16:44:57 lists=10000/10530(95.0%) +0 hover=7880 +96 q=1999 lp=351 herr=153 err=H:Error: H429
16:45:39 lists=10000/10530(95.0%) +0 hover=8001 +121 q=1885 lp=351 herr=159 err=H:Error: H429
16:46:23 lists=10000/10530(95.0%) +0 hover=8123 +122 q=1756 lp=351 herr=168 err=H:Error: H429
16:47:08 lists=10000/10530(95.0%) +0 hover=8243 +120 q=1618 lp=351 herr=186 err=H:Error: H429
16:47:52 lists=10000/10530(95.0%) +0 hover=8363 +120 q=1495 lp=351 herr=195 err=H:Error: H429
16:48:37 lists=10000/10530(95.0%) +0 hover=8486 +123 q=1366 lp=351 herr=207 err=H:Error: H429
16:49:23 lists=10000/10530(95.0%) +0 hover=8615 +129 q=1228 lp=351 herr=216 err=H:Error: H429
16:50:09 lists=10000/10530(95.0%) +0 hover=8747 +132 q=1075 lp=351 herr=237 err=H:Error: H429
16:50:53 lists=10000/10530(95.0%) +0 hover=8865 +118 q=937 lp=351 herr=249 err=H:Error: H429
16:51:38 lists=10000/10530(95.0%) +0 hover=8985 +120 q=796 lp=351 herr=270 err=H:Error: H429
