evolution_id,name,name_zh,slug,date_range_start,date_range_end,exact_release_date,category,status,free,repeatable,url,popular_url,popular_status,popular_player_count
417,Future Stars Academy CM/CAM First XI,,future-stars-academy-cmcam-first-xi,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,2,https://www.futbin.com/26/evolutions/417/future-stars-academy-cmcam-first-xi,https://www.futbin.com/26/popular/evolutions?evo_id=417,no-popular-players,0
418,Future Stars Academy ST First XI,,future-stars-academy-st-first-xi,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,2,https://www.futbin.com/26/evolutions/418/future-stars-academy-st-first-xi,https://www.futbin.com/26/popular/evolutions?evo_id=418,no-popular-players,0
419,FS Academy Club Legend Attackers,,fs-academy-club-legend-attackers,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,2,https://www.futbin.com/26/evolutions/419/fs-academy-club-legend-attackers,https://www.futbin.com/26/popular/evolutions?evo_id=419,no-popular-players,0
420,FS Academy Club Legend Defenders,,fs-academy-club-legend-defenders,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,2,https://www.futbin.com/26/evolutions/420/fs-academy-club-legend-defenders,https://www.futbin.com/26/popular/evolutions?evo_id=420,no-popular-players,0
421,FS Academy Club Legend Midfielders,,fs-academy-club-legend-midfielders,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,2,https://www.futbin.com/26/evolutions/421/fs-academy-club-legend-midfielders,https://www.futbin.com/26/popular/evolutions?evo_id=421,no-popular-players,0
422,Future Stars Academy LB/RB First XI,,future-stars-academy-lbrb-first-xi,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,2,https://www.futbin.com/26/evolutions/422/future-stars-academy-lbrb-first-xi,https://www.futbin.com/26/popular/evolutions?evo_id=422,no-popular-players,0
423,Pinged Pass+,,pinged-pass,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,true,https://www.futbin.com/26/evolutions/423/pinged-pass,https://www.futbin.com/26/popular/evolutions?evo_id=423,no-popular-players,0
424,Technical+,,technical,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,true,https://www.futbin.com/26/evolutions/424/technical,https://www.futbin.com/26/popular/evolutions?evo_id=424,no-popular-players,0
425,First Touch+,,first-touch,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,true,https://www.futbin.com/26/evolutions/425/first-touch,https://www.futbin.com/26/popular/evolutions?evo_id=425,no-popular-players,0
426,Jockey+,,jockey,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,true,https://www.futbin.com/26/evolutions/426/jockey,https://www.futbin.com/26/popular/evolutions?evo_id=426,no-popular-players,0
428,Press Proven+,,press-proven,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,true,https://www.futbin.com/26/evolutions/428/press-proven,https://www.futbin.com/26/popular/evolutions?evo_id=428,no-popular-players,0
429,Long Ball Pass+,,long-ball-pass,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,true,https://www.futbin.com/26/evolutions/429/long-ball-pass,https://www.futbin.com/26/popular/evolutions?evo_id=429,no-popular-players,0
430,Up in the Air,,up-in-the-air,2025-09-18,2026-02-14,,EVOLUTIONS,expired,true,true,https://www.futbin.com/26/evolutions/430/up-in-the-air,https://www.futbin.com/26/popular/evolutions?evo_id=430,no-popular-players,0
431,5* Weak Foot,,5-weak-foot,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,true,https://www.futbin.com/26/evolutions/431/5-weak-foot,https://www.futbin.com/26/popular/evolutions?evo_id=431,no-popular-players,0
436,Intercept,,intercept,2025-09-18,2026-02-14,,REWARDS,expired,true,true,https://www.futbin.com/26/evolutions/436/intercept,https://www.futbin.com/26/popular/evolutions?evo_id=436,no-popular-players,0
437,Rapid+,,rapid,2025-09-18,2026-02-14,,REWARDS,expired,true,true,https://www.futbin.com/26/evolutions/437/rapid,https://www.futbin.com/26/popular/evolutions?evo_id=437,no-popular-players,0
438,5* Skill Moves,,5-skill-moves,2025-09-18,2026-02-14,,FS ACADEMY,expired,true,true,https://www.futbin.com/26/evolutions/438/5-skill-moves,https://www.futbin.com/26/popular/evolutions?evo_id=438,no-popular-players,0
